title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great overnight stop,"Stopped here overnight, room was very comfortable, large bed and staff very helpful, Covid safe environment and excellent breakfast bag and go idea. Free parking and direct access to the motorway. Pub/ restaurant on site.",September 2020,Holiday Inn Express Stafford,https://www.tripadvisor.com/Hotel_Review-g186377-d189317-Reviews-Holiday_Inn_Express_Stafford-Stafford_Staffordshire_England.html,"Stafford, United Kingdom",hotels,5.0,4.0
Lovely walk and ruins.,"Lovely ruined priory, visited church attached too. Very interesting history and old graves. Covid safe and friendly staff. Dog friendly.",September 2020,Lanercost Priory,https://www.tripadvisor.com/Attraction_Review-g2161401-d2372537-Reviews-Lanercost_Priory-Lanercost_Brampton_Cumbria_England.html,"Lanercost, United Kingdom",attractions,5.0,4.5
Lovely Castle.,Lovely walk inside and round the outside. Lots of history. Helpful staff and covid safe. Dog friendly.,September 2020,Aydon Castle,https://www.tripadvisor.com/Attraction_Review-g1051961-d216435-Reviews-Aydon_Castle-Corbridge_Northumberland_England.html,"Corbridge, United Kingdom",attractions,5.0,4.5
Very interesting.,"Interesting history inside, walk along the ramparts. Still used by Army reserves. Covid safe and helpful staff. Dog friendly.",September 2020,Carlisle Castle,https://www.tripadvisor.com/Attraction_Review-g190736-d1753952-Reviews-Carlisle_Castle-Carlisle_Cumbria_England.html,"Carlisle, United Kingdom",attractions,5.0,4.0
Great Castle.,Lovely solid castle to see inside and walk around the outside. Friendly staff and Covid safe. Lovely lake.,September 2020,Prudhoe Castle,https://www.tripadvisor.com/Attraction_Review-g2220683-d216461-Reviews-Prudhoe_Castle-Prudhoe_Northumberland_England.html,"Prudhoe, United Kingdom",attractions,5.0,4.0
Stunning.,This is two houses for the price of one. The old castle and quarry gardens are lovely and the newer main hall was fascinating inside.,September 2020,"Belsay Hall, Castle and Gardens",https://www.tripadvisor.com/Attraction_Review-g2146069-d213645-Reviews-Belsay_Hall_Castle_and_Gardens-Belsay_Northumberland_England.html,"Belsay, United Kingdom",attractions,5.0,4.5
Great house and beautiful gardens.,"Lovely garden walk, house was lovely, Covid safe enviroment and helpful staff. Dog friendly. Interesting history in the house.",September 2020,Wallington Hall,https://www.tripadvisor.com/Attraction_Review-g504049-d215652-Reviews-Wallington_Hall-Morpeth_Northumberland_England.html,"Morpeth, United Kingdom",attractions,5.0,4.5
Amazing pub.,"Great pub, the food is excellent, landlord very social and friendly. Lovely log fire , great atmosphere.",September 2020,The Black Bull Haltwhistle Ltd,https://www.tripadvisor.com/Restaurant_Review-g616269-d1544997-Reviews-The_Black_Bull_Haltwhistle_Ltd-Haltwhistle_Northumberland_England.html,"Haltwhistle, United Kingdom",restaurants,5.0,4.5
Excellent food.,"Great take away, chatty waiter, excellent choice of food and good prices too. Short wait for food in Covid safe enviroment.",September 2020,Zaki Indian Restaurant & Grill,https://www.tripadvisor.com/Restaurant_Review-g616269-d19775259-Reviews-Zaki_Indian_Restaurant_Grill-Haltwhistle_Northumberland_England.html,"Haltwhistle, United Kingdom",restaurants,5.0,3.5
Very informative.,Followed on here from Vindolanda so very informative about the soldiers and conditions they endured.,September 2020,Roman Army Museum,https://www.tripadvisor.com/Attraction_Review-g186351-d218420-Reviews-Roman_Army_Museum-Hexham_Northumberland_England.html,"Hexham, United Kingdom",attractions,5.0,4.5
Great visit,"Great visit, surprised at how large it is, beautiful to walk around. Covid safe enviroment, lovely park to the side.",September 2020,Hexham Abbey,https://www.tripadvisor.com/Attraction_Review-g186351-d283309-Reviews-Hexham_Abbey-Hexham_Northumberland_England.html,"Hexham, United Kingdom",attractions,5.0,4.5
Fantastic day out.,"Fantastic day out, the site is huge great to walk amongst the ruins , lots of history and the museum was more than I expected. Cafe was open to sit outside and good Covid safe enviroment.",September 2020,Vindolanda,https://www.tripadvisor.com/Attraction_Review-g186351-d215860-Reviews-Vindolanda-Hexham_Northumberland_England.html,"Hexham, United Kingdom",attractions,5.0,4.5
Great overnight stay.,"Had to have an overnight stop, the man at reception was very helpful and fitted us in for the night. Lovely room ,clean and comfortable. Room had kettle too. Good price too. Metro station outside and plenty of shops.",February 2020,Campanile Paris Est Porte De Bagnolet,https://www.tripadvisor.com/Hotel_Review-g196558-d1210085-Reviews-Campanile_Paris_Est_Porte_De_Bagnolet-Bagnolet_Seine_Saint_Denis_Ile_de_France.html,"Bagnolet, France",hotels,5.0,3.5
"Amazing restaurant,","Lovely setting on front, the food is delicious and well priced. It was very popular and we could see why. The staff were so friendly and helpful. Great choice on the menu and the cherry yoghurt dessert was superb.",February 2020,La Brasserie Fañabe,https://www.tripadvisor.com/Restaurant_Review-g662606-d1842251-Reviews-La_Brasserie_Fanabe-Costa_Adeje_Adeje_Tenerife_Canary_Islands.html,"Tenerife, Spain",restaurants,5.0,3.5
Great food and staff.,"Great food here looking out onto beach Staff very friendly especially guy out working the front, good prices and choice of food.",February 2020,MARINA BEACH Steak House - Pizzeria,https://www.tripadvisor.com/Restaurant_Review-g662606-d13810608-Reviews-MARINA_BEACH_Steak_House_Pizzeria-Costa_Adeje_Adeje_Tenerife_Canary_Islands.html,"Tenerife, Spain",restaurants,5.0,4.0
Great staff and drinks.,"Sat here for drinks, staff very friendly, drinks good prices and overlooks the beach. Biscuits and small cake with hot drink lovely.",February 2020,Chapo,https://www.tripadvisor.com/Restaurant_Review-g1166580-d12896585-Reviews-Chapo-Playa_de_Fanabe_Costa_Adeje_Adeje_Tenerife_Canary_Islands.html,"Tenerife, Spain",restaurants,5.0,4.5
Great staff and breakfasts.,Had breakfast here and many evening drinks. Staff very friendly and nice environment to sit in especially in evening. Owners there too and lovely.,February 2020,The Clubhouse@44. Regent Street,https://www.tripadvisor.com/Restaurant_Review-g662606-d7255922-Reviews-The_Clubhouse_44_Regent_Street-Costa_Adeje_Adeje_Tenerife_Canary_Islands.html,"Tenerife, Spain",restaurants,5.0,4.5
Fabulous food and staff.,"Great food and staff so friendly. Desserts very good and caramel vodka amazing. Prices reasonable too, best to book as busy.",February 2020,pueblo torviscas pool bar,https://www.tripadvisor.com/Restaurant_Review-g662606-d7744038-Reviews-Pueblo_torviscas_pool_bar-Costa_Adeje_Adeje_Tenerife_Canary_Islands.html,"Tenerife, Spain",restaurants,5.0,4.5
