title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Ancient,"It’s one the archeological sites of Assam. The site is a hilly terrain where several rock-cut Shivalingas, votive stupas and the Hindu deities.Buddhist and Jain pantheon are scattered in an area of about one km. A must visit place if you like art and is inclined towards religion.",March 2021,Sri Surya Pahar,https://www.tripadvisor.com/Attraction_Review-g503692-d3705463-Reviews-Sri_Surya_Pahar-Guwahati_Kamrup_Metropolitan_District_Assam.html,"Guwahati, India",attractions,4.0,4.0
Good,"Cool ambience, I liked the theme. Fusion food ... done up well. Service was great. Quality and quality both were satisfactory.",December 2020,Jwala,https://www.tripadvisor.com/Restaurant_Review-g294009-d13831544-Reviews-Jwala-Doha.html,"Doha, Qatar",restaurants,4.0,4.0
Marvelous,"National Art Museum of Catalonia,is the national museum of Catalan visual art located in Barcelona, Catalonia, Spain. Situated on Montjuïc hill, the museum is especially notable for its outstanding collection of romanesque church paintings, and for Catalan art and design from the late 19th and early 20th centuries, including modernisme and noucentisme. The museum is housed in the Palau Nacional, a huge, Italian-style building dating to 1929.it’s an amazing walk up the museum. No rush as no much tourists, couldn’t get inside but was able to capture amazing photos.",January 2021,Museu Nacional d'Art de Catalunya - MNAC,https://www.tripadvisor.com/Attraction_Review-g187497-d257527-Reviews-Museu_Nacional_d_Art_de_Catalunya_MNAC-Barcelona_Catalonia.html,"Barcelona, Spain",attractions,5.0,4.5
Superb!!,If you’re in Manhattan you can’t miss to walk around Times Square. It’s one of the most visited places by tourists in NY. I like the vibe and enthusiasm. Had a great few hours. Loads of restaurants and shopping!!,December 2020,Times Square,https://www.tripadvisor.com/Attraction_Review-g60763-d110145-Reviews-Times_Square-New_York_City_New_York.html,"New York City, New York",attractions,4.0,4.5
Good place for breakfast!!,"Good place for breakfast!! Service was fast, staff is following pandemic protocols. Portion was fantastic. Food was tasty. Decent ambience.",December 2020,Palace Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60763-d858108-Reviews-Palace_Restaurant-New_York_City_New_York.html,"New York City, New York",restaurants,4.0,4.0
Good,Excellent location! Walking distance to 5th avenue and Central Park. Rooms are small but comfortable. Bathrooms are spacious. Smart TV. WiFi disconnects continuously. Staff are prompt. No room service but many restaurants around or you can oder food.,December 2020,Hotel 57,https://www.tripadvisor.com/Hotel_Review-g60763-d575732-Reviews-Hotel_57-New_York_City_New_York.html,"New York City, New York",hotels,4.0,4.0
Quality and quantity are average,Quality and quantity are average and the prices are high ... closes at 18 these days... view of aircraft bay... service was good indeed.,November 2020,East & West,https://www.tripadvisor.com/Restaurant_Review-g189852-d2190524-Reviews-East_West-Stockholm.html,"Stockholm, Sweden",restaurants,3.0,3.5
Decent choices of pizza and,Decent choices of pizza and pasta. Good sitting area. Serves beer ... prices are okay. Pizza could be a little less salty.,November 2020,Alfredo's Arlanda,https://www.tripadvisor.com/Restaurant_Review-g189852-d4561667-Reviews-Alfredo_s_Arlanda-Stockholm.html,"Stockholm, Sweden",restaurants,4.0,3.0
Fantastic,Unmatched destination for adventure and nature lovers. From sand dunes safari to camel ride... stunning sunset and mind blowing photography.,November 2020,Sealine Beach,https://www.tripadvisor.com/Attraction_Review-g298468-d8063205-Reviews-Sealine_Beach-Mesaieed.html,"Mesaieed, Qatar",attractions,5.0,4.5
👍,"Great staff I must say!! Rooms are modern, clean and comfortable. Perfectly located in Helsinki city center's Kamppi, with countless transport, cultural and shopping options in the immediate vicinity.lots of restaurants around. WiFi works perfect.",November 2020,"Radisson Blu Royal Hotel, Helsinki",https://www.tripadvisor.com/Hotel_Review-g189934-d206760-Reviews-Radisson_Blu_Royal_Hotel_Helsinki-Helsinki_Uusimaa.html,"Helsinki, Finland",hotels,4.0,4.0
Average,Just standard... nothing outstanding.. the best I liked was every room has huge glass windows ..rest everything is usual. No kettle and minibar is empty. Very limited menu.. following Covid procedures. Limited staff..,November 2020,Novotel Madrid Campo de las Naciones,https://www.tripadvisor.com/Hotel_Review-g187514-d206984-Reviews-Novotel_Madrid_Campo_de_las_Naciones-Madrid.html,"Madrid, Spain",hotels,3.0,4.0
Fancy place for lunch/dinner.,Fancy place for lunch/dinner. Staff is good can be more active. Food quality was okay and the portions are decent. If you get discount please inform them as you settle down .. later they don’t consider giving discount. Parking is a big hassle.,November 2020,Desi Dhaba Restaurant,https://www.tripadvisor.com/Restaurant_Review-g294009-d14377260-Reviews-Desi_Dhaba_Restaurant-Doha.html,"Doha, Qatar",restaurants,3.0,4.0
Great place for photography,"The famous pearl monument and fountain is a popular spot for photos, at the Corniche promenade, in walking distance from the souq. This fountain pays homage to Qatar's history of pearling, the primary industry before oil.You can see the Doha skyline and also take a boat trip.",October 2020,The Pearl Monument,https://www.tripadvisor.com/Attraction_Review-g294009-d12500074-Reviews-The_Pearl_Monument-Doha.html,"Doha, Qatar",attractions,5.0,4.0
Good ambience.. with sports,Good ambience.. with sports playing.. quick service. Menu was limited though. Food was delicious. They practice social distancing and staff was using masks. Wasn’t much crowded as they take just house guests I suppose.,October 2020,Burnells,https://www.tripadvisor.com/Restaurant_Review-g186605-d1997028-Reviews-Burnells-Dublin_County_Dublin.html,"Dublin, Ireland",restaurants,4.0,3.5
